,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.0981542583002079,0.04415415498693448,2.222990301348818,0.026216453966100322,0.011613704758016694,0.1846948118423991
C(Year)[T.2017],-0.0003453423475038486,0.009030428968107922,-0.03824207562270495,0.9694946739200476,-0.01804465788994258,0.017353973194934886
C(Year)[T.2018],0.005733868932208763,0.010606852490372232,0.5405815662481737,0.5887960264016232,-0.015055179938249794,0.02652291780266732
C(Year)[T.2019],-0.0005674592100476698,0.010587530735426988,-0.053596936266630306,0.9572562975104816,-0.021318638136695437,0.020183719716600098
C(Year)[T.2020],0.01110673987866529,0.014681811763937423,0.7564965453341737,0.4493515429054462,-0.01766908240644854,0.039882562163779126
C(Year)[T.2021],0.009840171140539531,0.012272375091211473,0.8018147316558392,0.42266013573319716,-0.014213242043001418,0.03389358432408048
C(Year)[T.2022],0.0062124485959192234,0.010185228192007421,0.609946923014869,0.5418969678884954,-0.013750231834737333,0.026175129026575778
C(Year)[T.2023],0.011138424819875105,0.011531661021793075,0.9658994310381814,0.33409450708848887,-0.01146321546476368,0.03374006510451389
esg_score,5.472556395765773e-05,0.0001853075649309138,0.29532288106025495,0.7677472390306019,-0.00030847058936975084,0.00041792171728506633
lnta,0.0031669361033962802,0.002404619698534224,1.3170216085839848,0.18783138152622225,-0.0015460319022463612,0.007879904109038922
td_ta,-0.04746723815623342,0.051170966459649296,-0.927620512965366,0.35360445330796675,-0.14776048947125311,0.052826013158786274
price_to_book_value_per_share,0.0187832396161652,0.007523863794597337,2.4964885235765277,0.01254297273967348,0.004036737554169551,0.03352974167816085
capital_adequacy__total_,-0.005153559410470884,0.0017707758276648683,-2.9103398239103537,0.00361035971320205,-0.008624216257388132,-0.001682902563553637
